name,full_name,stars,forks,language,created_at,owner_name,license_name,created_year
tensorflow,tensorflow/tensorflow,197218,76082,C++,2015-11-07 01:19:20+00:00,tensorflow,Apache License 2.0,2015
transformers,huggingface/transformers,164310,34309,Python,2018-10-29 13:56:00+00:00,huggingface,Apache License 2.0,2018
ML-For-Beginners,microsoft/ML-For-Beginners,89648,22021,Jupyter Notebook,2021-03-03 01:34:05+00:00,microsoft,MIT License,2021
funNLP,fighting41love/funNLP,82584,15271,Python,2018-08-21 11:20:39+00:00,fighting41love,Unknown,2018
awesome-machine-learning,josephmisiti/awesome-machine-learning,74095,15616,Python,2014-07-15 19:11:19+00:00,josephmisiti,Other,2014
scikit-learn,scikit-learn/scikit-learn,66998,27296,Python,2010-08-17 09:43:38+00:00,scikit-learn,"BSD 3-Clause ""New"" or ""Revised"" License",2010
gradio,gradio-app/gradio,43399,3578,Python,2018-12-19 08:24:04+00:00,gradio-app,Apache License 2.0,2018
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,36429,7450,Unknown,2021-01-02 12:08:37+00:00,ashishpatel26,Unknown,2021
C-Plus-Plus,TheAlgorithms/C-Plus-Plus,34590,7851,C++,2016-07-16 10:19:45+00:00,TheAlgorithms,MIT License,2016
netron,lutzroeder/netron,33381,3173,JavaScript,2010-12-26 12:53:43+00:00,lutzroeder,MIT License,2010
ML-From-Scratch,eriklindernoren/ML-From-Scratch,32502,5432,Python,2017-02-05 12:11:23+00:00,eriklindernoren,MIT License,2017
applied-ml,eugeneyan/applied-ml,30071,3992,Unknown,2020-07-04 18:57:47+00:00,eugeneyan,MIT License,2020
machine-learning-for-software-engineers,ZuzooVn/machine-learning-for-software-engineers,28865,6146,Unknown,2016-10-09 21:20:25+00:00,ZuzooVn,Creative Commons Attribution Share Alike 4.0 International,2016
linkedin-skill-assessments-quizzes,Ebazhanov/linkedin-skill-assessments-quizzes,28803,12906,Python,2019-07-13 19:52:56+00:00,Ebazhanov,GNU Affero General Public License v3.0,2019
cs249r_book,harvard-edge/cs249r_book,27970,3534,Python,2023-09-06 19:31:06+00:00,harvard-edge,Other,2023
shap,shap/shap,25694,3743,Jupyter Notebook,2016-11-22 19:17:08+00:00,shap,MIT License,2016
homemade-machine-learning,trekhleb/homemade-machine-learning,24772,4194,Jupyter Notebook,2018-11-01 04:34:19+00:00,trekhleb,MIT License,2018
Paddle,PaddlePaddle/Paddle,24058,6014,C++,2016-08-15 06:59:08+00:00,PaddlePaddle,Apache License 2.0,2016
best-of-ml-python,lukasmasuch/best-of-ml-python,23726,3146,Unknown,2020-11-29 19:41:36+00:00,lukasmasuch,Creative Commons Attribution Share Alike 4.0 International,2020
C,TheAlgorithms/C,22330,4768,C,2016-07-16 10:17:03+00:00,TheAlgorithms,GNU General Public License v3.0,2016
onnx,onnx/onnx,21341,4007,Python,2017-09-07 04:53:45+00:00,onnx,Apache License 2.0,2017
rasa,RasaHQ/rasa,21300,4918,Python,2016-10-14 12:27:49+00:00,RasaHQ,Apache License 2.0,2016
video2x,k4yt3x/video2x,21011,1823,C++,2018-02-24 16:34:41+00:00,k4yt3x,GNU Affero General Public License v3.0,2018
awesome-production-machine-learning,EthicalML/awesome-production-machine-learning,20859,2590,Unknown,2018-08-15 14:28:41+00:00,EthicalML,MIT License,2018
machine-learning-for-trading,stefan-jansen/machine-learning-for-trading,20568,5546,Jupyter Notebook,2018-05-09 12:33:08+00:00,stefan-jansen,MIT License,2018
stanford-cs-229-machine-learning,afshinea/stanford-cs-229-machine-learning,20140,4249,Unknown,2018-08-04 23:01:00+00:00,afshinea,MIT License,2018
ml-agents,Unity-Technologies/ml-agents,19643,4484,C#,2017-09-08 21:09:04+00:00,Unity-Technologies,Other,2017
LightGBM,lightgbm-org/LightGBM,18706,4055,C++,2016-08-05 05:45:50+00:00,lightgbm-org,MIT License,2016
ml-engineering,stas00/ml-engineering,18680,1203,Python,2020-09-02 19:23:01+00:00,stas00,Creative Commons Attribution Share Alike 4.0 International,2020
Machine-Learning-Tutorials,ujjwalkarn/Machine-Learning-Tutorials,18129,3969,Unknown,2015-09-12 14:51:38+00:00,ujjwalkarn,Creative Commons Zero v1.0 Universal,2015
ML-NLP,NLP-LOVE/ML-NLP,17796,4627,Jupyter Notebook,2019-07-05 12:49:53+00:00,NLP-LOVE,Unknown,2019
brpc,apache/brpc,17590,4135,C++,2017-09-04 09:28:47+00:00,apache,Apache License 2.0,2017
ML-YouTube-Courses,dair-ai/ML-YouTube-Courses,17380,2126,Unknown,2021-06-25 09:39:16+00:00,dair-ai,Creative Commons Zero v1.0 Universal,2021
numpy-ml,ddbourgin/numpy-ml,16333,3744,Python,2019-04-06 22:29:49+00:00,ddbourgin,GNU General Public License v3.0,2019
transformers.js,huggingface/transformers.js,16264,1179,JavaScript,2023-02-13 13:51:45+00:00,huggingface,Apache License 2.0,2023
mml-book.github.io,mml-book/mml-book.github.io,15910,2847,Jupyter Notebook,2017-12-08 10:52:21+00:00,mml-book,Unknown,2017
kubeflow,kubeflow/kubeflow,15824,2692,Unknown,2017-11-30 18:44:19+00:00,kubeflow,Apache License 2.0,2017
cheatsheets-ai,kailashahirwar/cheatsheets-ai,15427,3372,Unknown,2017-05-24 12:06:56+00:00,kailashahirwar,MIT License,2017
ggml,ggml-org/ggml,15212,1787,C++,2022-09-18 17:07:19+00:00,ggml-org,MIT License,2022
Qix,ty4z2008/Qix,15190,4575,Unknown,2014-04-20 11:03:15+00:00,ty4z2008,Other,2014
imgaug,aleju/imgaug,14738,2450,Python,2015-07-10 20:31:33+00:00,aleju,MIT License,2015
bullet3,bulletphysics/bullet3,14684,3088,C++,2011-04-12 18:45:08+00:00,bulletphysics,Other,2011
ChatterBot,gunthercox/ChatterBot,14509,4420,Python,2014-09-28 14:49:00+00:00,gunthercox,"BSD 3-Clause ""New"" or ""Revised"" License",2014
dlib,davisking/dlib,14432,3442,C++,2014-01-29 00:45:33+00:00,davisking,Boost Software License 1.0,2014
nni,microsoft/nni,14363,1851,Python,2018-06-01 05:51:44+00:00,microsoft,MIT License,2018
mit-deep-learning-book-pdf,janishar/mit-deep-learning-book-pdf,14203,2909,Java,2017-04-07 10:46:50+00:00,janishar,Unknown,2017
ivy,unifyai/ivy,14171,5463,Python,2021-01-19 08:37:25+00:00,unifyai,Other,2021
handson-ml3,ageron/handson-ml3,13968,5256,Jupyter Notebook,2022-02-19 09:43:22+00:00,ageron,Apache License 2.0,2022
machine-learning-zoomcamp,DataTalksClub/machine-learning-zoomcamp,13967,3099,Jupyter Notebook,2020-04-17 04:29:23+00:00,DataTalksClub,Unknown,2020
tvm,apache/tvm,13675,3958,Python,2016-10-12 22:20:28+00:00,apache,Apache License 2.0,2016
Ai-Learn,tangyudi/Ai-Learn,13275,2673,Unknown,2020-01-28 01:55:06+00:00,tangyudi,Unknown,2020
deep-learning-drizzle,kmario23/deep-learning-drizzle,12931,2988,HTML,2018-11-26 01:17:36+00:00,kmario23,Unknown,2018
machine-learning-interview,khangich/machine-learning-interview,12788,2044,Unknown,2020-08-11 06:26:32+00:00,khangich,Unknown,2020
python-machine-learning-book,rasbt/python-machine-learning-book,12639,4373,Jupyter Notebook,2015-08-07 20:39:29+00:00,rasbt,MIT License,2015
predictionio,apache/predictionio,12518,1897,Scala,2013-01-25 19:42:32+00:00,apache,Apache License 2.0,2013
lime,marcotcr/lime,12165,1847,JavaScript,2016-03-15 22:18:10+00:00,marcotcr,"BSD 2-Clause ""Simplified"" License",2016
cleanlab,cleanlab/cleanlab,11630,916,Python,2018-05-11 01:55:21+00:00,cleanlab,Apache License 2.0,2018
dive-into-machine-learning,dive-into-machine-learning/dive-into-machine-learning,11390,1866,Unknown,2015-02-22 23:48:16+00:00,dive-into-machine-learning,Creative Commons Attribution 4.0 International,2015
MLAlgorithms,rushter/MLAlgorithms,11168,1768,Python,2016-10-05 06:46:45+00:00,rushter,MIT License,2016
turicreate,apple/turicreate,11160,1118,C++,2017-12-01 00:42:04+00:00,apple,"BSD 3-Clause ""New"" or ""Revised"" License",2017
amazon-sagemaker-examples,aws/amazon-sagemaker-examples,10979,6961,Jupyter Notebook,2017-10-23 05:55:22+00:00,aws,Apache License 2.0,2017
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies,10950,1681,Unknown,2024-05-18 15:42:58+00:00,Engineer1999,Unknown,2024
dolly,databrickslabs/dolly,10804,1140,Python,2023-03-24 16:15:53+00:00,databrickslabs,Apache License 2.0,2023
doccano,doccano/doccano,10752,1823,Python,2018-05-09 06:10:05+00:00,doccano,MIT License,2018
mlcourse.ai,Yorko/mlcourse.ai,10692,5697,Python,2017-02-27 08:32:20+00:00,Yorko,Other,2017
machine-learning-systems-design,chiphuyen/machine-learning-systems-design,10537,1631,HTML,2019-11-24 23:16:28+00:00,chiphuyen,Unknown,2019
Machine-Learning,Jack-Cherish/Machine-Learning,10371,5065,Python,2017-03-25 07:32:37+00:00,Jack-Cherish,Unknown,2017
machine-learning-notes,roboticcam/machine-learning-notes,10337,1825,Jupyter Notebook,2018-02-15 15:42:33+00:00,roboticcam,Unknown,2018
3D-Machine-Learning,timzhang642/3D-Machine-Learning,10191,1797,Unknown,2017-08-12 15:20:54+00:00,timzhang642,Unknown,2017
tpot,EpistasisLab/tpot,10051,1562,Jupyter Notebook,2015-11-03 21:08:40+00:00,EpistasisLab,GNU Lesser General Public License v3.0,2015
sktime,sktime/sktime,9956,2300,Python,2018-11-06 15:08:24+00:00,sktime,"BSD 3-Clause ""New"" or ""Revised"" License",2018
Stock-Prediction-Models,huseinzol05/Stock-Prediction-Models,9482,3046,Jupyter Notebook,2017-12-18 10:49:59+00:00,huseinzol05,Apache License 2.0,2017
cog,replicate/cog,9459,696,Go,2021-02-26 23:43:09+00:00,replicate,Apache License 2.0,2021
golearn,sjwhitworth/golearn,9438,1165,Go,2013-12-26 13:06:14+00:00,sjwhitworth,MIT License,2013
AIMLInterviews,alirezadir/AIMLInterviews,9427,1659,Jupyter Notebook,2021-01-31 03:52:09+00:00,alirezadir,MIT License,2021
machinelearning,dotnet/machinelearning,9350,1950,C#,2018-05-03 16:20:42+00:00,dotnet,MIT License,2018
awesome-ml-for-cybersecurity,jivoi/awesome-ml-for-cybersecurity,9308,1940,Unknown,2016-12-20 12:46:36+00:00,jivoi,Other,2016
awesome-project-ideas,NirantK/awesome-project-ideas,9278,1292,Unknown,2017-08-19 09:37:58+00:00,NirantK,MIT License,2017
catboost,catboost/catboost,9072,1319,C++,2017-07-18 05:29:04+00:00,catboost,Apache License 2.0,2017
machine_learning_examples,lazyprogrammer/machine_learning_examples,8911,6404,Python,2014-07-31 23:40:45+00:00,lazyprogrammer,Unknown,2014
state-of-the-art-result-for-machine-learning-problems,RedditSota/state-of-the-art-result-for-machine-learning-problems,8894,1294,Unknown,2017-11-09 01:21:40+00:00,RedditSota,Apache License 2.0,2017
pattern,clips/pattern,8860,1558,Python,2011-05-03 15:29:01+00:00,clips,"BSD 3-Clause ""New"" or ""Revised"" License",2011
financial-machine-learning,firmai/financial-machine-learning,8754,1410,Python,2019-03-21 21:00:35+00:00,firmai,Unknown,2019
machinelearning,ljpzzz/machinelearning,8706,3687,Jupyter Notebook,2016-05-12 07:06:34+00:00,ljpzzz,MIT License,2016
vowpal_wabbit,VowpalWabbit/vowpal_wabbit,8705,1925,C++,2009-07-31 19:36:58+00:00,VowpalWabbit,Other,2009
MachineLearning_Python,lawlite19/MachineLearning_Python,8580,2515,Python,2016-10-17 15:44:59+00:00,lawlite19,MIT License,2016
Machine-Learning-Collection,aladdinpersson/Machine-Learning-Collection,8488,2785,Python,2020-03-26 07:02:40+00:00,aladdinpersson,MIT License,2020
approachingalmost,abhishekkrthakur/approachingalmost,8374,1122,Unknown,2020-07-04 07:13:20+00:00,abhishekkrthakur,Unknown,2020
introduction_to_ml_with_python,amueller/introduction_to_ml_with_python,8152,4670,Jupyter Notebook,2016-05-29 18:29:47+00:00,amueller,Unknown,2016
auto-sklearn,automl/auto-sklearn,8126,1323,Python,2015-07-02 15:38:10+00:00,automl,"BSD 3-Clause ""New"" or ""Revised"" License",2015
machine-learning-cheat-sheet,soulmachine/machine-learning-cheat-sheet,8042,1332,TeX,2013-05-09 07:43:59+00:00,soulmachine,Unknown,2013
cortex,cortexlabs/cortex,8011,594,Go,2019-01-24 04:43:14+00:00,cortexlabs,Apache License 2.0,2019
machine-learning-roadmap,mrdbourke/machine-learning-roadmap,7893,1168,Unknown,2020-07-09 07:07:47+00:00,mrdbourke,MIT License,2020
machine-learning-yearning-cn,deeplearning-ai/machine-learning-yearning-cn,7844,1500,CSS,2018-06-19 19:26:39+00:00,deeplearning-ai,Other,2018
Machine-Learning-Specialization-Coursera,greyhatguy007/Machine-Learning-Specialization-Coursera,7797,3728,Jupyter Notebook,2022-06-16 15:31:02+00:00,greyhatguy007,MIT License,2022
Machine-learning-learning-notes,Vay-keen/Machine-learning-learning-notes,7761,1879,Unknown,2018-03-24 06:48:10+00:00,Vay-keen,Unknown,2018
awesome-youtubers,JoseDeFreitas/awesome-youtubers,7734,496,Markdown,2020-08-25 14:18:15+00:00,JoseDeFreitas,Creative Commons Zero v1.0 Universal,2020
Learn_Machine_Learning_in_3_Months,llSourcell/Learn_Machine_Learning_in_3_Months,7603,2310,Unknown,2018-03-02 10:59:53+00:00,llSourcell,Unknown,2018
h2o-3,h2oai/h2o-3,7495,2025,Jupyter Notebook,2014-03-03 16:08:07+00:00,h2oai,Apache License 2.0,2014
industry-machine-learning,firmai/industry-machine-learning,7483,1249,Jupyter Notebook,2019-05-03 05:08:15+00:00,firmai,Unknown,2019
